RES	NOISE_FRAC	TIME	STATE	COUNTEREXAMPLE	COMMAND
unsafe	0.04400000000000001	0.4278621673583984	[0.1016423, 0.9808083, -0.15651435, -1.593958]	[-0.17664250770825146, 1.4208083176612856, -0.11965299195957885, -1.153958020210266]	1
unsafe	0.027000000000000003	0.3268673419952393	[0.48992428, 0.09571341, -0.006335275, -0.3057305]	[0.4108630162677218, 0.3657134068012238, 0.01628419283796823, -0.09830633918136943]	1
unsafe	0.02600000000000001	0.31618595123291016	[0.07035256, 0.78418314, -0.10788398, -1.2580246]	[-0.16352817999332023, 1.044183144569397, -0.086102272800363, -0.9980245733261108]	1
unsafe	0.016000000000000004	0.3158998489379883	[0.46646264, 0.094010465, 0.02982513, -0.2683074]	[0.38383066234436625, 0.2540104648470879, 0.03993189956123914, -0.10830738782882687]	1
unsafe	0.02800000000000001	0.3156731128692627	[0.08596229, 0.78457195, -0.13138539, -1.26982]	[-0.1828377231183541, 1.0645719456672669, -0.11353561463171173, -0.989819974899292]	1
unsafe	0.02625	0.31275177001953125	[0.058559608, 0.7820054, -0.08835014, -1.2077509]	[-0.19344040278558544, 1.0445054292678833, -0.06635899048331528, -0.9452509164810181]	1
unsafe	0.026125	0.31122756004333496	[0.046907824, 0.7828743, -0.07200864, -1.2256072]	[-0.08575181368342898, 1.0441242861747742, -0.050122210256550906, -0.9643571567535401]	1
unsafe	0.02603125000000001	0.3056976795196533	[0.042950913, 0.78189105, -0.064940706, -1.2034062]	[-0.2069490971024491, 0.9220857958198481, -0.043132816396048886, -0.9430937147140502]	1
unsafe	0.02600000000000001	0.29773521423339844	[0.07032239, 0.78325856, -0.107186325, -1.2374513]	[-0.17927762347954795, 1.0393137549718796, -0.08540461533442825, -0.9774513149261475]	1
safe	0.0128	0.2951984405517578	[0.45088673, -1.0759624, 0.0524956, 1.4722954]	None	0
unsafe	0.02600000000000001	0.29453229904174805	[-0.07038316, -0.5895147, 0.10856181, 0.97435373]	[0.17921684909361885, -0.8495146727561951, 0.08678009682074875, 0.7143537306785583]	0
unsafe	0.026500000000000003	0.2906649112701416	[0.03903233, 0.9763639, -0.05871949, -1.4815326]	[-0.2153676817261273, 1.2299879949094787, -0.036518901133443984, -1.216532573699951]	1
unsafe	0.016	0.28691887855529785	[0.046907824, 0.39271256, -0.07200864, -0.6412075]	[-0.10669218286718027, 0.5480583642040252, -0.0810047901569619, -0.6751278940659641]	1
unsafe	0.032	0.28504037857055664	[0.07821907, 0.20037708, -0.12101054, -0.4113795]	[0.044168459375332314, 0.43136319562305364, -0.10161062652693242, -0.3353533028323634]	1
safe	0.004	0.2826652526855469	[-0.24800655, -0.050672628, -0.07390803, -0.38639995]	None	1
unsafe	0.004	0.2780652046203613	[0.45066962, -0.29782403, 0.049286306, 0.3526598]	[0.45116863061245144, -0.2578240251541138, 0.05263733814438843, 0.39265979170799253]	1
unsafe	0.016000000000000004	0.27724647521972656	[0.046928547, 0.39336643, -0.07247282, -0.65568316]	[0.045545061471566284, 0.5234278543007258, -0.05906868923581985, -0.495683159828186]	1
unsafe	0.016	0.2698383331298828	[0.05473181, 0.3933608, -0.084161125, -0.65610474]	[-0.09886819779719011, 0.49451561849373826, -0.07075699616350083, -0.6468944450353202]	1
unsafe	0.02601708135281221	0.26621031761169434	[0.46054858, -0.10119028, 0.0359366, 0.026272632]	[0.7103125710866703, 0.13089531513103403, 0.04487640524747001, 0.22798853828284005]	1
unsafe	0.02600065954763662	0.2643294334411621	[0.46058908, -0.10066848, 0.035043698, 0.014753845]	[0.7101954231065408, 0.13106189229160767, 0.04476419382876205, 0.22795338648300711]	1
unsafe	0.016	0.2633671760559082	[0.054715153, 0.39303163, -0.08379006, -0.6488026]	[-0.09888485357011453, 0.4890150429957536, -0.07038592744745163, -0.6438318101452936]	1
unsafe	0.016000000000000004	0.26320314407348633	[-0.02342285, -0.5860145, 0.035305664, 0.8926788]	[0.1102354248398667, -0.7460145092010498, 0.026971589398641017, 0.7682423269628632]	0
unsafe	0.026004999971807552	0.26254940032958984	[0.4763886, -0.100337155, 0.023451628, 0.007439465]	[0.3780997329043315, 0.10379855564020332, 0.001665729836775369, 0.0656972683200327]	1
unsafe	0.0266	0.26187610626220703	[-0.38815886, 1.0807258, -0.14482196, -1.5896102]	[-0.3791023165100589, 1.3457257890701295, -0.12262136816373077, -1.32461021900177]	1
unsafe	0.033	0.26107072830200195	[-0.38034627, 1.0811037, -0.1567818, -1.6005931]	[-0.36076406777876757, 1.4011036825180054, -0.16615486206696223, -1.280593090057373]	1
unsafe	0.0020000000000000018	0.2601466178894043	[0.45082474, -0.68514663, 0.045856234, 0.87382215]	[0.4444417720941018, -0.7051466298103333, 0.04418071756620873, 0.8603957912440192]	0
unsafe	0.016	0.2585735321044922	[0.06263412, 0.20051418, -0.09805644, -0.41344154]	[0.11180767503972497, 0.3473622961340044, -0.08465231407560257, -0.25344153881072995]	1
safe	0.004	0.2550938129425049	[-0.24485324, 0.14171484, -0.053241685, -0.6185036]	None	1
unsafe	0.027000000000000003	0.2539939880371094	[-0.42944038, 1.272151, -0.08835014, -1.7919607]	[-0.6139916728750374, 1.4975611166984364, -0.06646065475709009, -1.7032404188433055]	1
unsafe	0.001	0.2517051696777344	[0.43501052, -0.29899815, 0.07381793, 0.37911752]	[0.4254105222039887, -0.2979185906348044, 0.07298017305562729, 0.3891175186634064]	1
unsafe	0.008	0.2486686706542969	[0.4664661, -0.29587603, 0.029748054, 0.3094274]	[0.479135572343621, -0.21587602615356444, 0.03645011870127247, 0.389427410364151]	1
unsafe	0.016	0.24765539169311526	[0.41942424, -0.6892147, 0.09676611, 0.96665025]	[0.5095141146218998, -0.759757586931854, 0.11017023574434372, 0.8084491381901578]	0
unsafe	0.0040000000000000036	0.24407029151916504	[0.03516644, 0.19687438, -0.05367766, -0.33175948]	[0.02847310583775066, 0.23687438011169437, -0.05702869172176384, -0.3042786354084065]	1
unsafe	0.008000000000000002	0.24405837059021	[0.44284883, -0.6883344, 0.06135605, 0.9448301]	[0.390692669336892, -0.7683344054222108, 0.05465398455101921, 0.8692393774751836]	0
unsafe	0.009000000000000001	0.2439389228820801	[-0.4136474, 0.88418317, -0.10788398, -1.2580246]	[-0.4154611083063109, 0.9503984018092416, -0.101181917880363, -1.1780245733261108]	1
unsafe	0.008	0.23988986015319824	[-0.02085325, 0.34171486, -0.053241685, -0.6185036]	[-0.018307956639635747, 0.4217148590087891, -0.046539620552844545, -0.5385035705566407]	1
unsafe	0.001	0.2381086349487305	[0.43500653, -0.29932734, 0.07390803, 0.38639995]	[0.44345548998923645, -0.2893273437023163, 0.07474578904678589, 0.3854029859206607]	1
unsafe	0.004	0.2321302890777588	[-0.030349018, -0.044168595, -0.05635693, -0.12882562]	[-0.015151762594777445, -0.004168595224618911, -0.05300589700261093, -0.09491828896083958]	1
unsafe	0.004000000000000001	0.2297687530517578	[0.4742425, -0.684672, 0.010663199, 0.8627497]	[0.43767875010111346, -0.6601461450506675, 0.013952843980371004, 0.8757745185532316]	1
safe	0.001	0.2290053367614746	[-0.25867826, -0.24693657, -0.04908843, -0.067649454]	None	0
unsafe	0.009000000000000001	0.2230222225189209	[-0.39804322, 0.8842757, -0.13125, -1.2632177]	[-0.4430887945304881, 0.9642756748199462, -0.12454792955953552, -1.1832176876068115]	1
unsafe	0.005	0.17420101165771484	[-0.38034627, 0.6913492, -0.1567818, -1.0210001]	[-0.4110112720581586, 0.73134920835495, -0.15343076040068604, -0.9810001468658447]	1
unsafe	0.001	0.1734926700592041	[0.42740703, -0.2979037, 0.089109495, 0.35532758]	[0.4178070258908936, -0.30746448821763667, 0.08994725334217316, 0.3653275763988495]	1
unsafe	0.001	0.16374540328979492	[0.4742809, -0.6856194, 0.017820777, 0.8836845]	[0.47992737513651645, -0.6756194138526916, 0.018658535431525763, 0.893684515953064]	1
unsafe	0.0010000000000000009	0.16181182861328125	[-0.05155995, -0.43216285, -0.033696607, 0.4074169]	[-0.04195995075637778, -0.4374776989136783, -0.032858848695256654, 0.4174169099330902]	0
safe	0.001	0.049558401107788086	[-0.05, -0.05, 0, 0]	None	0
safe	0.001	0.0034155845642089844	[-0.04129268, 0.53544736, -0.017560976, -0.879887]	None	1
safe	0.001	0.003293752670288086	[-0.03334291, -0.62957567, -0.04847157, 0.75153595]	None	0
safe	0.001	0.003179788589477539	[-0.01887502, -0.046937592, -0.060776733, -0.06766911]	None	1
safe	0.001	0.0031507015228271484	[-0.051, 0.14512195, 0.0, -0.29268292]	None	0
safe	0.001	0.00314021110534668	[-0.021822568, 0.14737746, -0.053919263, -0.3428735]	None	1
safe	0.001	0.003138303756713867	[-0.054610822, -0.23824123, -0.024560805, 0.14096835]	None	0
safe	0.001	0.00313568115234375	[-0.030583732, 0.34056833, -0.035158716, -0.5927762]	None	1
safe	0.008	0.003083705902099609	[-0.25584882, 0.33833447, -0.06135605, -0.9448301]	None	1
safe	0.001	0.002759695053100586	[-0.24307145, -0.24675472, -0.07247282, -0.07176052]	None	1
safe	0.004	0.002606391906738281	[-0.24022739, -0.05101018, -0.085069425, -0.37925172]	None	1
safe	0.002	0.002449750900268555	[-0.24201895, -0.05262458, -0.06561176, -0.34305316]	None	1
safe	0.001	0.002417564392089844	[-0.2792921, -0.0529979, -0.02557907, -0.3342407]	None	0
safe	0.001	0.002332925796508789	[-0.25329268, -0.054795567, -0.017560976, -0.2945326]	None	0
safe	0.001	0.00231170654296875	[-0.24485324, -0.248466, -0.053241685, -0.033878986]	None	0
safe	0.0001	0.0022842884063720703	[0.41173708, -0.6875489, 0.105870716, 0.93054354]	None	0
safe	0.001	0.002275943756103516	[-0.25581375, -0.44113794, -0.062130116, 0.20523617]	None	0
safe	0.001	0.002269506454467773	[-0.24982256, -0.052622568, -0.053919263, -0.3428735]	None	1
safe	0.0001	0.002259969711303711	[0.4527809, -0.1010142, 0.046827916, 0.02239143]	None	1
safe	0.004	0.002229452133178711	[-0.24308813, 0.14303717, -0.07210169, -0.64838696]	None	1
safe	0.0001	0.0022156238555908203	[0.42936748, -0.88152015, 0.08194151, 1.1964604]	None	0
safe	0.001	0.002212047576904297	[-0.27325046, -0.05361415, -0.018490944, -0.32060054]	None	0
safe	0.001	0.002199649810791016	[-0.03123239, -0.23843983, -0.05893344, 0.14555842]	None	1
safe	0.001	0.002185821533203125	[-0.26361698, -0.051146466, -0.050441418, -0.37540704]	None	1
safe	0.001	0.0021762847900390625	[-0.25584498, -0.4416517, -0.061442353, 0.21658525]	None	0
safe	0.001	0.0021512508392333984	[-0.25870022, -0.24762408, -0.04861118, -0.052468784]	None	0
safe	0.001	0.002143383026123047	[-0.036001187, -0.43267044, -0.05602227, 0.41908216]	None	1
safe	0.002	0.00213623046875	[-0.24801053, -0.051001873, -0.07381793, -0.37911752]	None	1
safe	0.002	0.0021162033081054688	[-0.26361698, -0.44132164, -0.050441418, 0.20915069]	None	0
safe	0.002	0.0020895004272460933	[-0.27432275, -0.24846795, -0.024902955, -0.03380583]	None	0
safe	0.004	0.0020885467529296875	[-0.27926046, -0.4421959, -0.026269035, 0.22823529]	None	0
safe	0.001	0.002086639404296875	[-0.2543886, 0.1405723, -0.023451628, -0.59270185]	None	1
safe	0.0001	0.0020751953125	[0.45076063, -0.29677534, 0.047275744, 0.3294736]	None	1
safe	0.004	0.0020673274993896484	[-0.26827067, -0.24899018, -0.01804536, -0.022279155]	None	0
safe	0.004	0.0020673274993896484	[-0.27926046, -0.8324009, -0.026269035, 0.813144]	None	0
safe	0.001	0.0020558834075927734	[-0.24983357, -0.053125627, -0.05367766, -0.33175948]	None	1
safe	0.004	0.002001047134399414	[-0.25329268, 0.33544734, -0.017560976, -0.879887]	None	1
safe	0.0001	0.00199580192565918	[0.4429567, -0.29677358, 0.0589719, 0.32962582]	None	1
safe	0.002	0.001992225646972656	[-0.25584498, -0.051511522, -0.061442353, -0.36756095]	None	1
safe	0.0001	0.0019919872283935547	[0.49009755, -0.29520538, 0.0058536585, 0.29452404]	None	1
safe	0.001	0.001976251602172852	[-0.2636527, -0.05184003, -0.049660556, -0.360084]	None	1
safe	0.004	0.001974821090698242	[-0.250875, 0.14322336, -0.060776733, -0.6520601]	None	1
safe	0.004	0.001971721649169922	[-0.25938186, -0.44444072, -0.023600418, 0.2777529]	None	0
safe	0.001	0.00196075439453125	[-0.038152676, -0.044167683, -0.044663966, -0.12877226]	None	1
safe	0.001	0.0019562244415283203	[-0.033353765, 0.15023729, -0.048238557, -0.4059186]	None	1
safe	0.002	0.0019500255584716801	[-0.25581375, -0.050999347, -0.062130116, -0.37889123]	None	1
safe	0.002	0.001941680908203125	[-0.25266144, 0.14139313, -0.04145561, -0.61110246]	None	1
safe	0.002	0.0019338130950927734	[-0.2665041, -0.6378171, -0.03691539, 0.5323178]	None	0
safe	0.0001	0.001924991607666016	[0.49209756, -0.09999999, 0.0058536585, -1.0903289e-08]	None	1
safe	0.002	0.0018763542175292969	[-0.24982256, -0.44278562, -0.053919263, 0.24154176]	None	0
safe	0.0001	0.0018699169158935547	[0.48419344, -0.4904103, 0.01174414, 0.5890474]	None	1
safe	0.004	0.0018239021301269527	[-0.2714874, 0.33722696, -0.037284095, -0.91947794]	None	1
safe	0.002	0.0018222332000732426	[-0.25266144, -0.24881521, -0.04145561, -0.0261547]	None	0
safe	0.002	0.0017769336700439453	[-0.24658373, 0.14056832, -0.035158716, -0.5927762]	None	1
safe	0.0002	0.0016713142395019533	[0.47438523, -0.6856947, 0.023525087, 0.8854065]	None	1
